Date,Open,High,Low,Close
9/26/2014,0.000000,2.220001,-0.129997,2.220001
9/29/2014,0.000000,1.790000,-0.020005,1.459999
9/30/2014,0.000000,0.730003,-0.279999,-0.059998
10/1/2014,0.000000,0.100006,-1.889999,-1.409996
10/2/2014,0.000000,0.950004,-1.229996,0.630005
10/3/2014,0.000000,0.769997,-0.400001,0.180001
10/6/2014,0.000000,0.700005,-0.529999,-0.329994
10/7/2014,0.000000,0.690003,-0.699997,-0.680000
10/8/2014,0.000000,2.349999,-0.450004,2.040001
10/9/2014,0.000000,0.839996,-0.930000,-0.520004
10/10/2014,0.000000,1.339997,-0.389999,0.040001
10/13/2014,0.000000,0.449997,-1.520004,-1.520004
10/14/2014,0.000000,0.129998,-1.819999,-1.639999
10/15/2014,0.000000,1.180001,-2.790001,-0.430000
10/16/2014,0.000000,2.169998,-0.139999,0.709999
10/17/2014,0.000000,1.500000,-0.690002,0.169998
10/20/2014,0.000000,1.639999,-0.099999,1.440002
10/21/2014,0.000000,0.000000,-1.750000,-0.549996
10/22/2014,0.000000,1.270005,-0.239998,0.150002
10/23/2014,0.000000,0.970001,-0.450005,0.750000
10/24/2014,0.000000,0.309998,-0.650001,0.040001
10/27/2014,0.000000,0.630005,-0.150001,0.260003
10/28/2014,0.000000,1.339996,-0.050004,1.339996
10/29/2014,0.000000,0.720001,-0.290001,0.689994
10/30/2014,0.000000,0.389999,-1.059997,0.020004
10/31/2014,0.000000,0.029999,-0.800003,-0.010002
11/3/2014,0.000000,2.080002,-0.209999,1.180001
11/4/2014,0.000000,0.129997,-1.640000,-0.760003
11/5/2014,0.000000,0.200005,-0.970001,-0.239997
11/6/2014,0.000000,0.190003,-0.799995,0.099999
11/7/2014,0.000000,0.570000,-0.199997,0.260002
11/10/2014,0.000000,0.310005,-0.349999,-0.189995
11/11/2014,0.000000,1.050003,-0.299995,1.000000
11/12/2014,0.000000,2.050003,-0.009994,1.870003
11/13/2014,0.000000,1.649994,-0.200005,1.019997
11/14/2014,0.000000,1.040000,-1.940003,1.029998
11/17/2014,0.000000,3.010002,-0.969994,-0.279999
11/18/2014,0.000000,1.750000,-0.050003,1.529999
11/19/2014,0.000000,0.299996,-1.639999,-0.770004
11/20/2014,0.000000,1.949997,-0.060006,1.399994
11/21/2014,0.000000,0.059998,-1.480003,-1.040001
11/24/2014,0.000000,1.919999,-0.229995,1.779999
11/25/2014,0.000000,0.680000,-1.620003,-1.470002
11/26/2014,0.000000,1.159996,-0.110000,1.059998
11/28/2014,0.000000,0.130005,-1.219994,-0.339997
12/1/2014,0.000000,0.440002,-7.540001,-3.739998
12/2/2014,0.000000,2.250000,-0.750000,1.129997
12/3/2014,0.000000,0.599998,-0.639999,0.180000
12/4/2014,0.000000,1.430000,-0.479996,-0.279999
12/5/2014,0.000000,0.090004,-1.349999,-0.989998
12/8/2014,0.000000,0.550004,-2.479995,-1.699996
12/9/2014,0.000000,4.110001,-0.840004,3.930001
12/10/2014,0.000000,0.439994,-2.870003,-2.460007
12/11/2014,0.000000,1.540001,-0.920006,-0.639999
12/12/2014,0.000000,1.410004,-0.879997,-0.729996
12/15/2014,0.000000,0.900001,-4.349999,-2.469994
12/16/2014,0.000000,3.790001,-0.110001,0.379997
12/17/2014,0.000000,2.719993,-0.300003,2.290001
12/18/2014,0.000000,0.779999,-1.209999,0.779999
12/19/2014,0.000000,0.979996,-0.599998,-0.480003
12/22/2014,0.000000,1.329994,-0.190003,0.779998
12/23/2014,0.000000,0.099999,-0.770004,-0.690002
12/24/2014,0.000000,0.129997,-0.570000,-0.570000
12/26/2014,0.000000,2.419999,-0.089996,1.890000
12/29/2014,0.000000,0.979996,-0.090004,0.120003
12/30/2014,0.000000,0.279999,-1.529998,-1.120002
12/31/2014,0.000000,0.309997,-2.610001,-2.440003
1/2/2015,0.000000,0.050003,-4.040001,-2.059997
1/5/2015,0.000000,0.360001,-2.879997,-2.040001
1/6/2015,0.000000,0.889999,-1.910004,-0.279999
1/7/2015,0.000000,1.000000,-0.500000,0.550003
1/8/2015,0.000000,2.919999,-0.530006,2.659996
1/9/2015,0.000000,0.580002,-2.459999,-0.659996
1/12/2015,0.000000,0.029999,-3.799995,-3.349998
1/13/2015,0.000000,1.370003,-2.519996,-1.209999
1/14/2015,0.000000,1.449997,-0.540001,0.760002
1/15/2015,0.000000,0.059998,-3.339996,-3.180000
1/16/2015,0.000000,0.550003,-1.830002,-1.040001
1/20/2015,0.000000,1.130005,-1.339996,0.880005
1/21/2015,0.000000,2.110001,-0.680000,0.600006
1/22/2015,0.000000,2.209999,-0.540001,2.140000
1/23/2015,0.000000,1.449997,-0.770004,0.680000
1/26/2015,0.000000,0.620003,-0.939995,-0.640000
1/27/2015,0.000000,0.060005,-3.389999,-3.279999
1/28/2015,0.000000,0.490006,-2.319999,-2.319999
1/29/2015,0.000000,2.870002,-0.760002,2.580002
1/30/2015,0.000000,1.599998,-1.550004,-1.239998
2/2/2015,0.000000,1.119995,-1.970001,0.579994
2/3/2015,0.000000,0.589996,-0.889999,0.150002
2/4/2015,0.000000,2.010002,-0.190002,1.059998
2/5/2015,0.000000,0.210006,-0.769997,-0.079995
2/6/2015,0.000000,0.230003,-1.570000,-1.089997
2/9/2015,0.000000,1.289993,-0.120003,1.169998
2/10/2015,0.000000,1.980004,-0.009994,1.849999
2/11/2015,0.000000,2.150001,-0.269997,2.110000
2/12/2015,0.000000,1.420005,-0.489998,0.400001
2/13/2015,0.000000,0.000000,-1.629997,-0.199997
2/17/2015,0.000000,1.390007,-0.570000,0.340004
2/18/2015,0.000000,1.150002,-0.180000,1.090004
2/19/2015,0.000000,0.550003,-0.149994,-0.029999
2/20/2015,0.000000,0.880005,-0.569992,0.880005
2/23/2015,0.000000,2.979996,-0.360000,2.979996
2/24/2015,0.000000,0.660004,-1.770004,-0.770004
2/25/2015,0.000000,0.040008,-3.410004,-2.770005
2/26/2015,0.000000,2.080002,-2.179992,1.630005
2/27/2015,0.000000,0.570007,-1.759995,-1.539993
3/2/2015,0.000000,1.029999,-0.949997,-0.160004
3/3/2015,0.000000,0.559997,-0.870011,0.399994
3/4/2015,0.000000,0.459992,-0.779999,-0.560013
3/5/2015,0.000000,0.169998,-2.820000,-2.169998
3/6/2015,0.000000,0.970001,-2.139992,-1.799996
3/9/2015,0.000000,1.610008,-2.900001,-0.820000
3/10/2015,0.000000,0.809997,-2.610001,-1.900002
3/11/2015,0.000000,0.019997,-2.639999,-2.510002
3/12/2015,0.000000,2.590004,-0.680001,2.139999
3/13/2015,0.000000,1.000000,-1.820000,-0.810006
3/16/2015,0.000000,1.070000,-1.009994,1.070000
3/17/2015,0.000000,1.419998,-0.250000,1.139999
3/18/2015,0.000000,2.160004,-0.629997,1.470001
3/19/2015,0.000000,0.500000,-1.349998,-1.250000
3/20/2015,0.000000,0.149994,-3.089996,-2.349998
3/23/2015,0.000000,0.729995,-0.600006,0.089996
3/24/2015,0.000000,0.809990,-0.670005,-0.540001
